scheme_code,fund_name,aum_cr,expense_ratio_pct,morningstar_stars,latest_nav,latest_nav_date,source
120503,Axis Bluechip Fund - Growth,,,,104.2918,15-05-2026,mfapi.in (fallback — AUM/TER unavailable)
100033,HDFC Top 100 Fund - Growth,,,,892.69,15-05-2026,mfapi.in (fallback — AUM/TER unavailable)
119598,Mirae Asset Large Cap Fund - Growth,,,,100.8702,15-05-2026,mfapi.in (fallback — AUM/TER unavailable)
125354,Parag Parikh Flexi Cap Fund - Growth,,,,123.88,15-05-2026,mfapi.in (fallback — AUM/TER unavailable)
120594,Canara Robeco Flexi Cap Fund - Growth,,,,184.51,15-05-2026,mfapi.in (fallback — AUM/TER unavailable)
120505,Axis Midcap Fund - Growth,,,,134.72,15-05-2026,mfapi.in (fallback — AUM/TER unavailable)
119775,Kotak Equity Hybrid Fund - Growth,,,,160.712,15-05-2026,mfapi.in (fallback — AUM/TER unavailable)
120465,SBI Small Cap Fund - Growth,,,,65.87,15-05-2026,mfapi.in (fallback — AUM/TER unavailable)
125497,Nippon India Small Cap Fund - Growth,,,,190.2405,15-05-2026,mfapi.in (fallback — AUM/TER unavailable)
120716,UTI Nifty 50 Index Fund - Growth,,,,165.3921,15-05-2026,mfapi.in (fallback — AUM/TER unavailable)
120841,HDFC Index Fund - Nifty 50 Plan - Growth,,,,242.0952,15-05-2026,mfapi.in (fallback — AUM/TER unavailable)
120838,ICICI Pru Equity & Debt Fund - Growth,,,,15.7624,15-05-2026,mfapi.in (fallback — AUM/TER unavailable)
119260,HDFC Short Term Debt Fund - Growth,,,,,,mfapi.in (fallback — AUM/TER unavailable)
120828,ICICI Pru Corporate Bond Fund - Growth,,,,285.368,15-05-2026,mfapi.in (fallback — AUM/TER unavailable)
