date,nav,scheme_code,fund_name
2019-05-20,48.4883,120503,Axis Bluechip Fund - Growth
2019-05-21,47.8968,120503,Axis Bluechip Fund - Growth
2019-05-22,48.1288,120503,Axis Bluechip Fund - Growth
2019-05-23,47.927,120503,Axis Bluechip Fund - Growth
2019-05-24,48.4689,120503,Axis Bluechip Fund - Growth
2019-05-27,48.7481,120503,Axis Bluechip Fund - Growth
2019-05-28,48.8592,120503,Axis Bluechip Fund - Growth
2019-05-29,48.9649,120503,Axis Bluechip Fund - Growth
2019-05-30,49.5043,120503,Axis Bluechip Fund - Growth
2019-05-31,49.6009,120503,Axis Bluechip Fund - Growth
2019-06-03,50.216,120503,Axis Bluechip Fund - Growth
2019-06-04,50.041,120503,Axis Bluechip Fund - Growth
2019-06-06,49.4851,120503,Axis Bluechip Fund - Growth
2019-06-07,49.443,120503,Axis Bluechip Fund - Growth
2019-06-10,49.5439,120503,Axis Bluechip Fund - Growth
2019-06-11,49.653,120503,Axis Bluechip Fund - Growth
2019-06-12,49.234,120503,Axis Bluechip Fund - Growth
2019-06-13,49.2907,120503,Axis Bluechip Fund - Growth
2019-06-14,48.8909,120503,Axis Bluechip Fund - Growth
2019-06-17,48.5141,120503,Axis Bluechip Fund - Growth
2019-06-18,48.4502,120503,Axis Bluechip Fund - Growth
2019-06-19,48.4036,120503,Axis Bluechip Fund - Growth
2019-06-20,48.8821,120503,Axis Bluechip Fund - Growth
2019-06-21,48.5317,120503,Axis Bluechip Fund - Growth
2019-06-24,48.5922,120503,Axis Bluechip Fund - Growth
2019-06-25,48.996,120503,Axis Bluechip Fund - Growth
2019-06-26,49.2897,120503,Axis Bluechip Fund - Growth
2019-06-27,49.366,120503,Axis Bluechip Fund - Growth
2019-06-28,49.3756,120503,Axis Bluechip Fund - Growth
2019-07-01,49.7716,120503,Axis Bluechip Fund - Growth
2019-07-02,50.1515,120503,Axis Bluechip Fund - Growth
2019-07-03,50.1794,120503,Axis Bluechip Fund - Growth
2019-07-04,50.258,120503,Axis Bluechip Fund - Growth
2019-07-05,49.5638,120503,Axis Bluechip Fund - Growth
2019-07-08,48.5793,120503,Axis Bluechip Fund - Growth
2019-07-09,48.498,120503,Axis Bluechip Fund - Growth
2019-07-10,48.1232,120503,Axis Bluechip Fund - Growth
2019-07-11,48.6231,120503,Axis Bluechip Fund - Growth
2019-07-12,48.3958,120503,Axis Bluechip Fund - Growth
2019-07-15,48.7139,120503,Axis Bluechip Fund - Growth
2019-07-16,48.9022,120503,Axis Bluechip Fund - Growth
2019-07-17,48.9859,120503,Axis Bluechip Fund - Growth
2019-07-18,48.6995,120503,Axis Bluechip Fund - Growth
2019-07-19,47.9665,120503,Axis Bluechip Fund - Growth
2019-07-22,47.4019,120503,Axis Bluechip Fund - Growth
2019-07-23,47.2682,120503,Axis Bluechip Fund - Growth
2019-07-24,46.9859,120503,Axis Bluechip Fund - Growth
2019-07-25,47.1099,120503,Axis Bluechip Fund - Growth
2019-07-26,47.5006,120503,Axis Bluechip Fund - Growth
2019-07-29,47.2517,120503,Axis Bluechip Fund - Growth
2019-07-30,46.9379,120503,Axis Bluechip Fund - Growth
2019-07-31,47.2759,120503,Axis Bluechip Fund - Growth
2019-08-01,46.8464,120503,Axis Bluechip Fund - Growth
2019-08-02,47.0393,120503,Axis Bluechip Fund - Growth
2019-08-05,46.6536,120503,Axis Bluechip Fund - Growth
2019-08-06,47.3788,120503,Axis Bluechip Fund - Growth
2019-08-07,47.0773,120503,Axis Bluechip Fund - Growth
2019-08-08,47.4873,120503,Axis Bluechip Fund - Growth
2019-08-09,48.2849,120503,Axis Bluechip Fund - Growth
2019-08-13,47.2855,120503,Axis Bluechip Fund - Growth
