scheme_code,fund_name,nav_today,nav_1m_ago,nav_3m_ago,nav_6m_ago,nav_1y_ago,nav_3y_ago,nav_5y_ago
120503,Axis Bluechip Fund - Growth,104.2918,105.9826,109.3409,111.2034,107.4778,73.0567,68.7087
100033,HDFC Top 100 Fund - Growth,892.69,911.79,922.94,917.28,880.69,612.47,560.32
119598,Mirae Asset Large Cap Fund - Growth,100.8702,103.5104,105.6923,105.4512,101.2354,71.5847,56.7906
125354,Parag Parikh Flexi Cap Fund - Growth,123.88,120.98,119.17,124.84,118.1,75.37,52.64
120594,Canara Robeco Flexi Cap Fund - Growth,184.51,198.73,207.34,225.27,219.44,141.77,120.32
120505,Axis Midcap Fund - Growth,134.72,133.75,131.9,133.83,126.54,78.66,63.02
119775,Kotak Equity Hybrid Fund - Growth,160.712,160.676,158.524,160.391,147.698,87.821,65.86
120465,SBI Small Cap Fund - Growth,65.87,67.71,70.88,71.52,69.15,48.86,44.04
125497,Nippon India Small Cap Fund - Growth,190.2405,190.5242,187.236,197.0676,190.5543,130.6447,93.9225
120716,UTI Nifty 50 Index Fund - Growth,165.3921,170.2322,178.0785,181.0327,173.391,123.4812,100.8102
120841,HDFC Index Fund - Nifty 50 Plan - Growth,242.0952,236.2133,222.5748,240.1422,245.9744,144.5564,103.9544
120838,ICICI Pru Equity & Debt Fund - Growth,15.7624,15.8012,15.7731,15.7484,15.715,15.6058,15.5427
120828,ICICI Pru Corporate Bond Fund - Growth,285.368,271.9026,263.0243,283.9342,270.6278,160.2328,107.9018
