scheme_code,fund_name,inception_date,fund_age_years,latest_nav,latest_nav_date,nav_52w_high,nav_52w_low,nav_52w_change_pct,total_nav_days
120503,Axis Bluechip Fund - Growth,2019-05-20,7.0,104.2918,2026-05-15,112.4068,96.2753,8.33,1729
100033,HDFC Top 100 Fund - Growth,2019-05-20,7.0,892.69,2026-05-15,933.01,811.29,10.03,1722
119598,Mirae Asset Large Cap Fund - Growth,2019-05-20,7.0,100.8702,2026-05-15,108.2085,93.263,8.16,1730
125354,Parag Parikh Flexi Cap Fund - Growth,2019-05-20,7.0,123.88,2026-05-15,127.33,107.72,15.0,1729
120594,Canara Robeco Flexi Cap Fund - Growth,2019-05-20,7.0,184.51,2026-05-15,240.34,180.05,2.48,1721
120505,Axis Midcap Fund - Growth,2019-05-20,7.0,134.72,2026-05-15,138.21,119.92,12.34,1729
119775,Kotak Equity Hybrid Fund - Growth,2019-05-20,7.0,160.712,2026-05-15,166.001,141.582,13.51,1721
120465,SBI Small Cap Fund - Growth,2019-05-20,7.0,65.87,2026-05-15,72.38,62.24,5.83,1729
125497,Nippon India Small Cap Fund - Growth,2019-05-20,7.0,190.2405,2026-05-15,204.9043,169.1091,12.5,1730
120716,UTI Nifty 50 Index Fund - Growth,2019-05-20,7.0,165.3921,2026-05-15,183.9374,156.116,5.94,1722
120841,HDFC Index Fund - Nifty 50 Plan - Growth,2019-05-20,7.0,242.0952,2026-05-15,250.2343,210.115,15.22,1722
120838,ICICI Pru Equity & Debt Fund - Growth,2019-05-20,7.0,15.7624,2026-05-15,15.8218,15.6734,0.57,1986
120828,ICICI Pru Corporate Bond Fund - Growth,2019-05-20,7.0,285.368,2026-05-15,292.8383,239.9292,18.94,1722
