scheme_code,isin_growth,isin_idcw,scheme_name,nav,nav_date,amc_name,broad_category
119551,INF209KA12Z1,INF209KA13Z9,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,105.6569,2026-06-10,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund)
119552,INF209K01YM2,,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,116.7825,2026-06-10,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund)
119553,INF209K01YO8,,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,104.9357,2026-06-10,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund)
108272,INF209K01LX6,INF209KA11Z3,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,147.9373,2026-06-10,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund)
110282,INF209K01LU2,,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,112.1213,2026-06-10,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund)
108274,INF209K01LN7,,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,102.5562,2026-06-10,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund)
110490,INF209K01LR8,,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,113.9321,2026-06-10,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund)
106157,INF209K01LS6,,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,103.7541,2026-06-10,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund)
108273,INF209K01LV0,,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,383.2394,2026-06-10,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund)
103176,INF209K01LT4,,Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,575.2944,2026-06-10,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund)
119550,INF209K01YN0,,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,399.0223,2026-06-10,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund)
