sr_no,scheme_name,num_schemes,num_folios,funds_mobilized_cr,repurchase_redemption_cr,net_inflow_outflow_cr,aum_cr,avg_aum_cr,segregated_portfolios,segregated_aum_cr
i,Overnight Fund,38.0,786208.0,708935.34686781,668522.7996648,40412.5472030097,120911.58368664,133762.470742,0.0,0.0
ii,Liquid Fund,42.0,3668470.0,597426.20777256,478360.35372741,119065.85404515,694140.42303427,727985.51359547,0.0,0.0
iii,Ultra Short Duration Fund,25.0,786031.0,30306.5642106,22267.48899973,8039.07521086998,126812.31842878,126632.01771399,0.0,0.0
iv,Low Duration Fund,25.0,843303.0,14279.256958,13291.38062412,987.876333879998,115666.79716168,115571.96852007,0.0,0.0
v,Money Market Fund,27.0,537236.0,80506.95685037,59326.72745779,21180.22939258,326209.77185723,317467.91463222,1.0,0.0
vi,Short Duration Fund,25.0,569216.0,3708.52847268,2868.30066251,840.227810169998,108970.42925633,108600.44427008,0.0,0.0
vii,Medium Duration Fund,13.0,239058.0,440.60531335,445.56609017,-4.96077682000009,25471.80750262,25507.99549949,2.0,0.0
viii,Medium to Long Duration Fund,13.0,100206.0,30.5712664,85.0315677900001,-54.4603013900001,9936.25090934,9962.45223385,0.0,0.0
ix,Long Duration Fund,11.0,73870.0,31.80212221,650.0523239300001,-618.25020172,11837.61216381,12208.8154865,0.0,0.0
x,Dynamic Bond Fund,22.0,215840.0,304.29480696,885.9293755,-581.63456854,30588.06733746,30876.71232016,0.0,0.0
xi,Corporate Bond Fund,21.0,576475.0,3458.30058157,4242.99984363,-784.699262059999,176818.87506135,176980.30594365,0.0,0.0
xii,Credit Risk Fund,14.0,212982.0,366.50195374,221.43180852,145.07014522,22079.56673924,21932.66665842,4.0,0.0
xiii,Banking and PSU Fund,20.0,238649.0,726.70477452,1179.17989035,-452.475115830001,76518.16472976,76687.7230829,0.0,0.0
xiv,Gilt Fund,23.0,192080.0,369.25136937,575.04721523,-205.79584586,30920.92195932,31061.61509669,0.0,0.0
xv,Gilt Fund with 10 year constant duration,5.0,34755.0,17.87961656,80.14463128,-62.26501472,4078.90468649,4110.43287155,0.0,0.0
xvi,Floater Fund,12.0,193356.0,1862.30079992,2257.32052528,-395.01972536,52380.82363678,52128.15716031,0.0,0.0
