scheme_code,fund_name,nav_today,nav_1m_ago,nav_3m_ago,nav_6m_ago,nav_1y_ago,nav_3y_ago,nav_5y_ago
120465,Axis Large Cap Fund - Direct Plan - Growth,68.01,65.82,64.11,70.88,68.52,50.95,46.07
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,126.174,122.02,117.104,131.796,125.052,91.748,76.08
122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,90.2928,90.5973,87.7072,94.1703,90.9944,58.7729,44.4144
118275,CANARA ROBECO FLEXICAP FUND - DIRECT PLAN - GROWTH OPTION,381.25,371.9,351.56,388.98,376.28,261.76,213.17
120505,Axis Midcap Fund - Direct Plan - Growth,138.91,135.45,123.58,130.42,129.89,84.27,66.46
119775,Kotak Midcap Fund - Direct Plan - Growth,167.965,161.586,146.404,156.05,153.14,94.221,69.794
125497,SBI Small Cap Fund - Direct Plan - Growth,199.8302,189.5553,173.9004,189.542,194.7498,137.0258,98.4344
118777,Nippon India Small Cap Fund - Direct Plan Growth,200.593,193.4247,170.5506,183.5789,187.8471,118.4654,75.4514
120716,UTI Nifty 50 Index Fund - Growth Option - Direct,168.7581,165.2113,160.8218,180.3714,172.3306,127.9808,105.0139
119063,HDFC Nifty 50 Index Fund - Direct Plan,234.6313,229.7357,223.6532,250.846,239.7412,178.1782,146.3112
133035,Kotak Aggressive Hybrid Fund - Direct Plan - Growth,76.285,74.381,70.213,73.801,71.916,50.245,40.229
120251,ICICI Prudential Equity & Debt Fund - Direct Plan - Growth,448.16,440.31,426.97,452.85,429.72,280.55,200.56
119016,HDFC Short Term Debt Fund - Growth Option - Direct Plan,34.9822,34.4827,34.4151,34.0499,33.1357,28.0547,25.3396
120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth,33.1148,32.6179,32.563,32.2257,31.3119,26.5466,23.8172
