scheme_code,scheme_name,fund_house,scheme_type,broad_category,sub_category,full_category,metadata_complete
120465,Axis Large Cap Fund - Direct Plan - Growth Option,Axis Mutual Fund,Open Ended Schemes,Equity Scheme,Large Cap Fund,Equity Scheme - Large Cap Fund,True
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,Mirae Asset Mutual Fund,Open Ended Schemes,Equity Schemes,Large Cap Fund,Equity Schemes - Large Cap Fund,True
122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,PPFAS Mutual Fund,Open Ended Schemes,Equity Scheme,Flexi Cap Fund,Equity Scheme - Flexi Cap Fund,True
118275,Canara Robeco Flexi Cap Fund - Direct Plan - GROWTH OPTION,Canara Robeco Mutual Fund,Open Ended Schemes,Equity Schemes,Flexi Cap Fund,Equity Schemes - Flexi Cap Fund,True
120505,Axis Midcap Fund - Direct Plan - Growth Option,Axis Mutual Fund,Open Ended Schemes,Equity Scheme,Mid Cap Fund,Equity Scheme - Mid Cap Fund,True
119775,Kotak Mid Cap Fund - Direct Plan - Growth,Kotak Mahindra Mutual Fund,Open Ended Schemes,Equity Schemes,Mid Cap Fund,Equity Schemes - Mid Cap Fund,True
125497,SBI SMALL CAP FUND - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme,Small Cap Fund,Equity Scheme - Small Cap Fund,True
118777,Nippon India Small Cap Fund - Direct Plan - Bonus Option,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme,Small Cap Fund,Equity Scheme - Small Cap Fund,True
120716,UTI Nifty 50 Index Fund - Direct Plan - Growth,UTI Mutual Fund,Open Ended Schemes,Other Scheme,Index Funds,Other Scheme - Index Funds,True
119063,HDFC Nifty 50 Index Fund - Direct Plan - Growth Option,HDFC Mutual Fund,Open Ended Schemes,Other Scheme,Index Funds,Other Scheme - Index Funds,True
133035,Kotak Aggressive Hybrid Fund - Direct Plan - Growth,Kotak Mahindra Mutual Fund,Open Ended Schemes,Hybrid Scheme,Aggressive Hybrid Fund,Hybrid Scheme - Aggressive Hybrid Fund,True
120251,ICICI Prudential Aggressive Hybrid Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund,Open Ended Schemes,Hybrid Schemes,Aggressive Hybrid Fund,Hybrid Schemes - Aggressive Hybrid Fund,True
119016,HDFC Short Term Debt Fund - Direct Plan - Growth Option,HDFC Mutual Fund,Open Ended Schemes,Debt Scheme,Short Duration Fund,Debt Scheme - Short Duration Fund,True
120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme,Corporate Bond Fund,Debt Scheme - Corporate Bond Fund,True
