scheme_code,fund_name,inception_date,fund_age_years,latest_nav,latest_nav_date,nav_52w_high,nav_52w_low,nav_52w_change_pct,total_nav_days
120465,Axis Large Cap Fund - Direct Plan - Growth,2019-09-06,7.0,69.86,2026-09-02,72.38,62.24,12.24,1731
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,2019-09-06,7.0,127.001,2026-09-02,134.234,113.121,12.27,1723
122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,2019-09-06,7.0,90.5023,2026-09-02,95.7732,85.2599,6.15,1722
118275,CANARA ROBECO FLEXICAP FUND - DIRECT PLAN - GROWTH OPTION,2019-09-06,7.0,390.11,2026-09-02,397.81,340.57,14.55,1723
120505,Axis Midcap Fund - Direct Plan - Growth,2019-09-06,7.0,143.96,2026-09-02,145.91,119.92,20.05,1731
119775,Kotak Midcap Fund - Direct Plan - Growth,2019-09-06,7.0,171.568,2026-09-02,174.203,141.582,21.18,1723
125497,SBI Small Cap Fund - Direct Plan - Growth,2019-09-06,7.0,216.0825,2026-09-02,217.6184,169.1091,27.78,1732
118777,Nippon India Small Cap Fund - Direct Plan Growth,2019-09-06,7.0,208.3613,2026-09-02,210.7198,165.176,26.15,1723
120716,UTI Nifty 50 Index Fund - Growth Option - Direct,2019-09-06,7.0,168.4095,2026-09-02,183.9374,156.116,7.87,1723
119063,HDFC Nifty 50 Index Fund - Direct Plan,2019-09-06,7.0,234.0789,2026-09-02,255.8052,217.1184,7.81,1723
133035,Kotak Aggressive Hybrid Fund - Direct Plan - Growth,2019-09-06,7.0,77.847,2026-09-02,79.055,68.124,14.27,1723
120251,ICICI Prudential Equity & Debt Fund - Direct Plan - Growth,2019-09-06,7.0,451.14,2026-09-02,461.48,417.86,7.96,1723
119016,HDFC Short Term Debt Fund - Growth Option - Direct Plan,2019-09-06,7.0,35.3569,2026-09-02,35.4441,33.4403,5.73,1693
120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth,2019-09-06,7.0,33.5237,2026-09-02,33.626,31.624,6.01,1692
