scheme_code,fund_name,fund_house,broad_category,sub_category,full_category,scheme_type,benchmark_used,inception_date,fund_age_years,total_nav_days,latest_nav,nav_52w_high,nav_52w_low,nav_52w_change_pct,aum_cr,morningstar_stars,cagr_1y,cagr_3y,cagr_5y,return_1m_pct,return_3m_pct,return_6m_pct,return_1y_pct,cagr_3y_snap,cagr_5y_snap,volatility_pct,max_drawdown_pct,beta,tracking_error_pct,sharpe_ratio,sortino_ratio,calmar_ratio,alpha_pct,expense_ratio_pct,return_per_cost,return_per_cost_rank,true_net_return,composite_score,universe_rank,category_rank
118275,CANARA ROBECO FLEXICAP FUND - DIRECT PLAN - GROWTH OPTION,Canara Robeco Mutual Fund,Equity Scheme,Flexi Cap Fund,Equity Scheme - Flexi Cap Fund,Open Ended Schemes,Nifty 500,2019-08-02,7.0,1720,389.16,397.6,340.57,14.27,1332.77,4,1.8557,13.3821,12.7598,1.9544,4.3464,1.9865,1.7172,12.4903,11.8797,16.3991,-33.2387,0.9122,3.3289,0.612,0.707,0.4026,2.0858,0.45,29.738,4,12.9321,47.56,8,2
118777,Nippon India Small Cap Fund - Direct Plan Growth,Nippon India Mutual Fund,Equity Scheme,Small Cap Fund,Equity Scheme - Small Cap Fund,Open Ended Schemes,Nifty Smallcap 250,2019-08-02,7.0,1720,202.895,205.5009,165.176,22.84,7840.7,5,3.9998,18.8826,21.6656,-0.3013,5.6292,14.4661,6.1946,16.7019,19.3688,18.4483,-40.3026,0.8155,7.5556,1.0492,1.1455,0.4685,3.3773,0.54,34.9678,2,18.3426,78.99,2,1
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,Mirae Asset Mutual Fund,Equity Scheme,Large Cap Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,Nifty 50,2019-08-02,7.0,1720,128.385,134.234,113.121,13.49,3837.92,4,0.961,10.9016,11.0149,2.0962,4.1182,-0.4706,1.0388,9.9922,10.3854,17.2586,-37.4417,0.9532,3.154,0.4466,0.5143,0.2912,1.9989,0.5,21.8032,10,10.4016,36.94,9,1
119016,HDFC Short Term Debt Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Debt Scheme,Short Duration Fund,Debt Scheme - Short Duration Fund,Open Ended Schemes,India 10Y Bond,2019-08-02,7.0,1691,35.3036,35.3045,33.339,5.89,1500.82,5,6.0617,7.9813,6.9396,0.2821,2.2661,3.4607,5.822,7.7016,6.7167,1.5179,-2.6704,0.0006,467.3005,0.1717,0.1887,2.9888,0.1468,0.39,20.4649,12,7.5913,15.2,14,1
119063,HDFC Nifty 50 Index Fund - Direct Plan,HDFC Mutual Fund,Other Scheme,Index Funds,Other Scheme - Index Funds,Open Ended Schemes,Nifty 50,2019-08-02,7.0,1720,237.0971,255.8052,217.1184,9.2,2370.29,3,-1.9788,8.9088,10.1246,1.7544,1.6262,-4.0408,-1.5859,8.0734,9.9837,17.7862,-38.3591,0.9973,0.6311,0.3902,0.4617,0.2322,0.9627,0.31,28.7381,6,8.5988,30.32,11,2
119775,Kotak Midcap Fund - Direct Plan - Growth,Kotak Mahindra Mutual Fund,Equity Scheme,Mid Cap Fund,Equity Scheme - Mid Cap Fund,Open Ended Schemes,Nifty Midcap 150,2019-08-02,7.0,1720,170.917,172.431,141.582,20.72,6761.09,4,8.1822,21.6111,19.4268,1.68,6.4784,11.774,7.9942,19.9395,17.9638,16.9847,-35.9712,0.8726,4.904,0.9553,1.0672,0.6008,3.1223,0.39,55.4131,1,21.2211,80.28,1,1
120251,ICICI Prudential Equity & Debt Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund,Hybrid Scheme,Aggressive Hybrid Fund,Hybrid Scheme - Aggressive Hybrid Fund,Open Ended Schemes,Nifty 50,2019-08-02,7.0,1720,454.02,461.48,417.86,8.65,5148.05,5,4.5358,16.6223,17.5761,0.8216,1.869,1.1316,4.3556,14.7871,16.6011,13.2302,-30.7015,0.6791,7.8314,0.8438,0.9706,0.5414,7.1069,0.77,21.5874,11,15.8523,65.39,4,1
120465,Axis Large Cap Fund - Direct Plan - Growth,Axis Mutual Fund,Equity Scheme,Large Cap Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,Nifty 50,2019-08-02,7.0,1728,69.91,72.38,62.24,12.32,3091.25,3,0.8075,10.08,8.5951,2.1927,5.0015,0.2581,0.8366,9.7806,8.3066,15.8787,-30.104,0.8643,4.6784,0.3793,0.4633,0.3348,0.9068,0.98,10.2857,14,9.1,29.83,12,2
120505,Axis Midcap Fund - Direct Plan - Growth,Axis Mutual Fund,Equity Scheme,Mid Cap Fund,Equity Scheme - Mid Cap Fund,Open Ended Schemes,Nifty Midcap 150,2019-08-02,7.0,1728,141.27,142.26,119.92,17.8,3380.29,4,7.6835,18.5547,16.0347,1.0082,5.4096,10.092,7.0146,17.5376,14.8325,15.9042,-29.3625,0.8082,5.9493,0.8517,1.0018,0.6319,1.507,0.8,23.1934,9,17.7547,66.91,3,2
120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund,Debt Scheme,Corporate Bond Fund,Debt Scheme - Corporate Bond Fund,Open Ended Schemes,India 10Y Bond,2019-08-02,7.0,1690,33.4583,33.4712,31.5184,6.15,3003.03,5,6.3181,8.0601,7.1275,0.2349,2.4468,3.5479,6.0905,7.686,6.9476,1.346,-2.0075,0.0005,467.3364,0.2249,0.2464,4.015,0.1892,0.31,26.0003,8,7.7501,17.3,13,1
