scheme_code,isin_growth,isin_idcw,scheme_name,nav,nav_date,amc_name,broad_category
150230,INF251K01EN4,INF251K01EO2,BARODA BNP PARIBAS CORPORATE BOND FUND,,,Baroda BNP Paribas Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
150229,INF251K01EI4,-,BARODA BNP PARIBAS CORPORATE BOND FUND,,,Baroda BNP Paribas Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
150231,INF251K01EJ2,INF251K01EK0,BARODA BNP PARIBAS CORPORATE BOND FUND,,,Baroda BNP Paribas Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
150228,INF251K01EL8,INF251K01EM6,BARODA BNP PARIBAS CORPORATE BOND FUND,,,Baroda BNP Paribas Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
130947,INF109KA1I84,-,ICICI Prudential Corporate Bond Fund,,,ICICI Prudential Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
111988,INF109K01CR9,-,ICICI Prudential Corporate Bond Fund,,,ICICI Prudential Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
120695,INF109K013B8,-,ICICI Prudential Corporate Bond Fund,,,ICICI Prudential Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
120696,INF109K014B6,INF109K015B3,ICICI Prudential Corporate Bond Fund,,,ICICI Prudential Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
131152,INF109KA1N38,INF109KA1N20,ICICI Prudential Corporate Bond Fund,,,ICICI Prudential Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
120693,INF109K010C2,INF109K011C0,ICICI Prudential Corporate Bond Fund,,,ICICI Prudential Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
111990,INF109K01SJ2,INF109K01CS7,ICICI Prudential Corporate Bond Fund,,,ICICI Prudential Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
131151,INF109KA1N12,INF109KA1N04,ICICI Prudential Corporate Bond Fund,,,ICICI Prudential Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
111982,INF109K01CL2,-,ICICI Prudential Corporate Bond Fund,,,ICICI Prudential Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
111985,INF109K01CO6,-,ICICI Prudential Corporate Bond Fund,,,ICICI Prudential Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
111989,INF109K01SL8,INF109K01SM6,ICICI Prudential Corporate Bond Fund,,,ICICI Prudential Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
111976,INF109K01CF4,-,ICICI Prudential Corporate Bond Fund,,,ICICI Prudential Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
111978,INF109K01SF0,INF109K01CH0,ICICI Prudential Corporate Bond Fund,,,ICICI Prudential Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
111972,INF109K01CE7,-,ICICI Prudential Corporate Bond Fund,,,ICICI Prudential Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
111979,INF109K01QM0,INF109K01CI8,ICICI Prudential Corporate Bond Fund,,,ICICI Prudential Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
111980,INF109K01FQ4,INF109K01CJ6,ICICI Prudential Corporate Bond Fund,,,ICICI Prudential Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
111977,INF109K01SE3,INF109K01CG2,ICICI Prudential Corporate Bond Fund,,,ICICI Prudential Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
138323,INF223J01CQ2,-,PGIM India Corporate Bond Fund,,,PGIM India Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
138336,INF223J01WZ1,-,PGIM India Corporate Bond Fund,,,PGIM India Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
138324,INF223J01DA4,-,PGIM India Corporate Bond Fund,,,PGIM India Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
138333,INF223J01WG1,-,PGIM India Corporate Bond Fund,,,PGIM India Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
138334,INF223J01WF3,-,PGIM India Corporate Bond Fund,,,PGIM India Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
148085,INF789F1AOW2,-,UTI - Bond Fund ( Segregated - 17022020 ),,,UTI Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
148086,INF789F1APF4,-,UTI - Bond Fund ( Segregated - 17022020 ),,,UTI Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
148076,INF789F1APK4,INF789F1APL2,UTI - Bond Fund ( Segregated - 17022020 ),,,UTI Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
148090,INF789F1APM0,INF789F1APN8,UTI - Bond Fund ( Segregated - 17022020 ),,,UTI Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
148091,INF789F1API8,INF789F1APJ6,UTI - Bond Fund ( Segregated - 17022020 ),,,UTI Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
148092,INF789F1APG2,INF789F1APH0,UTI - Bond Fund ( Segregated - 17022020 ),,,UTI Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
148075,INF789F1APB3,INF789F1APC1,UTI - Bond Fund ( Segregated - 17022020 ),,,UTI Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
148088,INF789F1APD9,INF789F1APE7,UTI - Bond Fund ( Segregated - 17022020 ),,,UTI Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
148087,INF789F1AOZ5,INF789F1APA5,UTI - Bond Fund ( Segregated - 17022020 ),,,UTI Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
148089,INF789F1AOX0,INF789F1AOY8,UTI - Bond Fund ( Segregated - 17022020 ),,,UTI Mutual Fund,Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
134384,INF209KA1K70,-,Aditya Birla Sun Life Credit Risk Fund,,,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes(Debt Scheme - Credit Risk Fund)
116153,INF090I01ET7,-,Franklin India Credit Risk Fund (No. of segregated portfolios-3),,,Franklin Templeton Mutual Fund,Open Ended Schemes(Debt Scheme - Credit Risk Fund)
116154,INF090I01ES9,INF090I01ER1,Franklin India Credit Risk Fund (No. of segregated portfolios-3),,,Franklin Templeton Mutual Fund,Open Ended Schemes(Debt Scheme - Credit Risk Fund)
147957,INF090I01TI8,-,Franklin India Credit Risk Fund (No. of segregated portfolios-3),,,Franklin Templeton Mutual Fund,Open Ended Schemes(Debt Scheme - Credit Risk Fund)
147954,INF090I01TJ6,-,Franklin India Credit Risk Fund (No. of segregated portfolios-3),,,Franklin Templeton Mutual Fund,Open Ended Schemes(Debt Scheme - Credit Risk Fund)
147959,INF090I01TM0,-,Franklin India Credit Risk Fund (No. of segregated portfolios-3),,,Franklin Templeton Mutual Fund,Open Ended Schemes(Debt Scheme - Credit Risk Fund)
147961,INF090I01TN8,-,Franklin India Credit Risk Fund (No. of segregated portfolios-3),,,Franklin Templeton Mutual Fund,Open Ended Schemes(Debt Scheme - Credit Risk Fund)
134342,INF109KB1AF0,INF109KB1AG8,ICICI Prudential Credit Risk Fund,,,ICICI Prudential Mutual Fund,Open Ended Schemes(Debt Scheme - Credit Risk Fund)
130943,INF109KA1I27,-,ICICI Prudential Credit Risk Fund,,,ICICI Prudential Mutual Fund,Open Ended Schemes(Debt Scheme - Credit Risk Fund)
134341,INF109KB1AD5,INF109KB1AE3,ICICI Prudential Credit Risk Fund,,,ICICI Prudential Mutual Fund,Open Ended Schemes(Debt Scheme - Credit Risk Fund)
120710,INF109K01V18,INF109K01V26,ICICI Prudential Credit Risk Fund,,,ICICI Prudential Mutual Fund,Open Ended Schemes(Debt Scheme - Credit Risk Fund)
130944,INF109KA1I19,-,ICICI Prudential Credit Risk Fund,,,ICICI Prudential Mutual Fund,Open Ended Schemes(Debt Scheme - Credit Risk Fund)
114241,INF109K01GX8,INF109K01GY6,ICICI Prudential Credit Risk Fund,,,ICICI Prudential Mutual Fund,Open Ended Schemes(Debt Scheme - Credit Risk Fund)
148239,INF789F1ARG8,INF789F1ARH6,UTI - Credit Risk Fund (Segregated - 06032020),,,UTI Mutual Fund,Open Ended Schemes(Debt Scheme - Credit Risk Fund)
148241,INF789F1ARK0,INF789F1ARL8,UTI - Credit Risk Fund (Segregated - 06032020),,,UTI Mutual Fund,Open Ended Schemes(Debt Scheme - Credit Risk Fund)
148242,INF789F1ARF0,-,UTI - Credit Risk Fund (Segregated - 06032020),,,UTI Mutual Fund,Open Ended Schemes(Debt Scheme - Credit Risk Fund)
148238,INF789F1ARI4,INF789F1ARJ2,UTI - Credit Risk Fund (Segregated - 06032020),,,UTI Mutual Fund,Open Ended Schemes(Debt Scheme - Credit Risk Fund)
148240,INF789F1ARM6,INF789F1ARN4,UTI - Credit Risk Fund (Segregated - 06032020),,,UTI Mutual Fund,Open Ended Schemes(Debt Scheme - Credit Risk Fund)
148245,INF789F1ARD5,INF789F1ARE3,UTI - Credit Risk Fund (Segregated - 06032020),,,UTI Mutual Fund,Open Ended Schemes(Debt Scheme - Credit Risk Fund)
148234,INF789F1ARR5,INF789F1ARS3,UTI - Credit Risk Fund (Segregated - 06032020),,,UTI Mutual Fund,Open Ended Schemes(Debt Scheme - Credit Risk Fund)
148236,INF789F1ARV7,INF789F1ARW5,UTI - Credit Risk Fund (Segregated - 06032020),,,UTI Mutual Fund,Open Ended Schemes(Debt Scheme - Credit Risk Fund)
148237,INF789F1ARQ7,-,UTI - Credit Risk Fund (Segregated - 06032020),,,UTI Mutual Fund,Open Ended Schemes(Debt Scheme - Credit Risk Fund)
148235,INF789F1ART1,INF789F1ARU9,UTI - Credit Risk Fund (Segregated - 06032020),,,UTI Mutual Fund,Open Ended Schemes(Debt Scheme - Credit Risk Fund)
148244,INF789F1ARX3,INF789F1ARY1,UTI - Credit Risk Fund (Segregated - 06032020),,,UTI Mutual Fund,Open Ended Schemes(Debt Scheme - Credit Risk Fund)
148243,INF789F1ARO2,INF789F1ARP9,UTI - Credit Risk Fund (Segregated - 06032020),,,UTI Mutual Fund,Open Ended Schemes(Debt Scheme - Credit Risk Fund)
