unnamed:_0,unnamed:_1,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10
Monthly Report for the month of May 2026 ,,,,,,,,,,
Sr ,Scheme Name ,"No. of Schemes as on May 31, 2026","No. of Folios as on May 31, 2026",Funds Mobilized for the month of May 2026 (INR in crore),Repurchase/Redemption for the month of May 2026 (INR in crore),Net Inflow (+ve)/Outflow (-ve) for the month of May 2026 (INR in crore),"Net Assets Under Management as on May 31, 2026 (INR in crore)",Average Net Assets Under Management for the month May 2026 (INR in crore),"No. of segregated portfolios created as on May 31, 2026","Net Assets Under Management in segregated portfolio as on May 31, 2026 (INR in crore)"
A,Open ended Schemes,,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,,
i,Overnight Fund,37,769280,609290.59477917,624815.36026769,-15524.7654885199,89939.72886919,125683.05188235,0,0
ii,Liquid Fund,42,3128442,384615.2537261,414296.19236852,-29680.9386424199,609456.74539582,647737.83083791,0,0
iii,Ultra Short Duration Fund,25,790067,19017.06394001,20634.06895798,-1617.00501797,128380.21054963,131300.2460461,0,0
iv,Low Duration Fund,25,851676,8096.54266304,17497.02943356,-9400.48677052,129193.34562351,134933.89761964,0,0
v,Money Market Fund,27,536222,44806.65800022,69498.40087434,-24691.74287412,310807.23463853,322097.33698014,1,0
vi,Short Duration Fund,25,566949,1900.62515322,5787.67439911,-3887.04924589,111749.99006672,114125.91769302,0,0
vii,Medium Duration Fund,13,239305,146.39677961,409.70055903,-263.30377942,25139.40452295,25239.24925359,2,0
viii,Medium to Long Duration Fund,13,99704,13.48952381,242.51459512,-229.02507131,10506.28918095,10622.79500246,0,0
ix,Long Duration Fund,11,76052,65.68895001,962.39995976,-896.71100975,12807.24406288,13243.06831547,0,0
x,Dynamic Bond Fund,22,218843,108.70956293,762.39575131,-653.68618838,31390.80015086,31685.98609049,0,0
xi,Corporate Bond Fund,21,576950,1832.77868012,8842.71527898,-7009.93659886,181139.27382732,185169.13628042,0,0
xii,Credit Risk Fund,14,204891,268.7988234,219.33650198,49.4623214200002,21209.54094372,21172.68183015,4,0
xiii,Banking and PSU Fund,20,238409,979.67787219,1740.02130557,-760.34343338,76382.19536746,76816.77550263,0,0
xiv,Gilt Fund,23,195627,321.84611479,2005.44317848,-1683.59706369,31436.30806115,32292.92138325,0,0
xv,Gilt Fund with 10 year constant duration,5,35292,32.67261897,331.43162169,-298.75900272,4134.93180036,4281.30202221,0,0
