scheme_code,fund_name,aum_cr,expense_ratio_pct,morningstar_stars,latest_nav,latest_nav_date,source
120465,Axis Large Cap Fund - Direct Plan - Growth,3000.46,0.75,3,67.79,2026-06-23,mf.captnemo.in (kuvera)
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,3769.24,0.49,4,125.281,2026-06-23,mf.captnemo.in (kuvera)
122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,14144.67,0.53,5,89.5746,2026-06-23,mf.captnemo.in (kuvera)
118275,CANARA ROBECO FLEXICAP FUND - DIRECT PLAN - GROWTH OPTION,1301.25,0.51,4,380.52,2026-06-23,mf.captnemo.in (kuvera)
120505,Axis Midcap Fund - Direct Plan - Growth,3285.21,0.57,4,140.24,2026-06-23,mf.captnemo.in (kuvera)
119775,Kotak Midcap Fund - Direct Plan - Growth,6474.94,0.38,4,169.097,2026-06-23,mf.captnemo.in (kuvera)
125497,SBI Small Cap Fund - Direct Plan - Growth,3739.46,0.74,3,203.5443,2026-06-23,mf.captnemo.in (kuvera)
118777,Nippon India Small Cap Fund - Direct Plan Growth,7460.4,0.54,5,203.7836,2026-06-23,mf.captnemo.in (kuvera)
120716,UTI Nifty 50 Index Fund - Growth Option - Direct,2782.68,0.23,2,167.293,2026-06-23,mf.captnemo.in (kuvera)
119063,HDFC Nifty 50 Index Fund - Direct Plan,2315.49,0.26,3,232.5809,2026-06-23,mf.captnemo.in (kuvera)
133035,Kotak Aggressive Hybrid Fund - Direct Plan - Growth,867.0,0.51,4,76.515,2026-06-23,mf.captnemo.in (kuvera)
120251,ICICI Prudential Equity & Debt Fund - Direct Plan - Growth,5003.27,0.78,5,448.89,2026-06-23,mf.captnemo.in (kuvera)
119016,HDFC Short Term Debt Fund - Growth Option - Direct Plan,1486.4,0.39,5,35.0373,2026-06-23,mf.captnemo.in (kuvera)
120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth,3173.95,0.31,5,33.1831,2026-06-23,mf.captnemo.in (kuvera)
