scheme_code,fund_name,nav_today,nav_1m_ago,nav_3m_ago,nav_6m_ago,nav_1y_ago,nav_3y_ago,nav_5y_ago
120465,Axis Large Cap Fund - Direct Plan - Growth,69.14,68.01,67.71,70.75,69.52,52.91,46.92
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,127.426,126.174,125.242,131.407,127.902,96.035,78.431
122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,91.1262,90.2928,91.9852,93.8469,92.3343,60.8571,47.9662
118275,CANARA ROBECO FLEXICAP FUND - DIRECT PLAN - GROWTH OPTION,386.07,381.25,377.51,387.25,384.42,271.63,220.95
120505,Axis Midcap Fund - Direct Plan - Growth,141.15,138.91,133.75,129.45,132.76,85.55,69.7
119775,Kotak Midcap Fund - Direct Plan - Growth,171.107,167.965,160.676,156.12,158.785,96.907,73.29
125497,SBI Small Cap Fund - Direct Plan - Growth,208.7624,199.8302,190.5242,186.9719,204.9043,141.8948,104.9914
118777,Nippon India Small Cap Fund - Direct Plan Growth,204.6889,200.593,188.7652,181.5063,196.5313,124.0586,82.7359
120716,UTI Nifty 50 Index Fund - Growth Option - Direct,169.1882,168.7581,170.2322,179.6002,174.7762,134.832,106.73
119063,HDFC Nifty 50 Index Fund - Direct Plan,235.1864,234.6313,236.7297,249.7762,243.1377,187.7069,148.694
133035,Kotak Aggressive Hybrid Fund - Direct Plan - Growth,77.3,76.285,75.01,74.092,73.534,51.915,41.032
120251,ICICI Prudential Equity & Debt Fund - Direct Plan - Growth,453.6,448.16,450.07,453.13,435.82,291.25,206.21
119016,HDFC Short Term Debt Fund - Growth Option - Direct Plan,35.2188,34.9822,34.5689,34.0813,33.3089,28.2237,25.4548
120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth,33.3935,33.1148,32.7327,32.2435,31.4891,26.729,23.8593
