scheme_code,scheme_name,fund_house,scheme_type,broad_category,sub_category,full_category
120465,Axis Large Cap Fund - Direct Plan - Growth,Axis Mutual Fund,Open Ended Schemes,Equity Scheme,Large Cap Fund,Equity Scheme - Large Cap Fund
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,Mirae Asset Mutual Fund,Open Ended Schemes,Equity Scheme,Large Cap Fund,Equity Scheme - Large Cap Fund
122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,PPFAS Mutual Fund,Open Ended Schemes,Equity Scheme,Flexi Cap Fund,Equity Scheme - Flexi Cap Fund
118275,CANARA ROBECO FLEXICAP FUND - DIRECT PLAN - GROWTH OPTION,Canara Robeco Mutual Fund,Open Ended Schemes,Equity Scheme,Flexi Cap Fund,Equity Scheme - Flexi Cap Fund
120505,Axis Midcap Fund - Direct Plan - Growth,Axis Mutual Fund,Open Ended Schemes,Equity Scheme,Mid Cap Fund,Equity Scheme - Mid Cap Fund
119775,Kotak Midcap Fund - Direct Plan - Growth,Kotak Mahindra Mutual Fund,Open Ended Schemes,Equity Scheme,Mid Cap Fund,Equity Scheme - Mid Cap Fund
125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme,Small Cap Fund,Equity Scheme - Small Cap Fund
118777,Nippon India Small Cap Fund - Direct Plan Growth Plan - Bonus Option,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme,Small Cap Fund,Equity Scheme - Small Cap Fund
120716,UTI Nifty 50 Index Fund - Growth Option- Direct,UTI Mutual Fund,Open Ended Schemes,Other Scheme,Index Funds,Other Scheme - Index Funds
119063,HDFC Nifty 50 Index Fund - Direct Plan,HDFC Mutual Fund,Open Ended Schemes,Other Scheme,Index Funds,Other Scheme - Index Funds
133035,Kotak Aggressive Hybrid Fund - Direct Plan -Growth,Kotak Mahindra Mutual Fund,Open Ended Schemes,Hybrid Scheme,Aggressive Hybrid Fund,Hybrid Scheme - Aggressive Hybrid Fund
120251,ICICI Prudential Equity & Debt Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund,Open Ended Schemes,Hybrid Scheme,Aggressive Hybrid Fund,Hybrid Scheme - Aggressive Hybrid Fund
119016,HDFC Short Term  Debt Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Open Ended Schemes,Debt Scheme,Short Duration Fund,Debt Scheme - Short Duration Fund
120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme,Corporate Bond Fund,Debt Scheme - Corporate Bond Fund
