scheme_code,fund_name,inception_date,fund_age_years,latest_nav,latest_nav_date,nav_52w_high,nav_52w_low,nav_52w_change_pct,total_nav_days
120465,Axis Large Cap Fund - Direct Plan - Growth,2019-07-02,7.0,68.79,2026-06-25,72.38,62.24,10.52,1728
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,2019-07-02,7.0,126.522,2026-06-25,134.234,113.121,11.85,1720
122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,2019-07-02,7.0,89.7127,2026-06-25,95.7732,85.2599,5.22,1719
118275,CANARA ROBECO FLEXICAP FUND - DIRECT PLAN - GROWTH OPTION,2019-07-02,7.0,383.57,2026-06-25,397.6,340.57,12.63,1720
120505,Axis Midcap Fund - Direct Plan - Growth,2019-07-02,7.0,139.63,2026-06-25,141.08,119.92,16.44,1728
119775,Kotak Midcap Fund - Direct Plan - Growth,2019-07-02,7.0,168.272,2026-06-25,170.004,141.582,18.85,1719
125497,SBI Small Cap Fund - Direct Plan - Growth,2019-07-02,7.0,203.9157,2026-06-25,205.0655,169.1091,20.58,1729
118777,Nippon India Small Cap Fund - Direct Plan Growth,2019-07-02,7.0,202.8225,2026-06-25,205.2575,165.176,22.79,1719
120716,UTI Nifty 50 Index Fund - Growth Option - Direct,2019-07-02,7.0,168.9147,2026-06-25,183.9374,156.116,8.2,1720
119063,HDFC Nifty 50 Index Fund - Direct Plan,2019-07-02,7.0,234.8333,2026-06-25,255.8052,217.1184,8.16,1720
133035,Kotak Aggressive Hybrid Fund - Direct Plan - Growth,2019-07-02,7.0,76.596,2026-06-25,77.046,68.124,12.44,1719
120251,ICICI Prudential Equity & Debt Fund - Direct Plan - Growth,2019-07-02,7.0,451.96,2026-06-25,461.48,417.86,8.16,1720
119016,HDFC Short Term Debt Fund - Growth Option - Direct Plan,2019-07-02,7.0,35.1154,2026-06-25,35.1154,33.1864,5.81,1691
120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth,2019-07-02,7.0,33.2788,2026-06-25,33.2788,31.3702,6.08,1690
